feature,gain
FLAG_OWN_CAR,315.75098485946654
FLOORSMAX_MEDI,295.2188684463501
ELEVATORS_MODE,286.68144191503524
BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM,280.8876233100891
FLOORSMIN_MEDI,264.66205501556396
FLAG_PHONE,264.1846964836121
BUREAU_CREDIT_DAY_OVERDUE_MAX,249.42523334026336
LIVE_CITY_NOT_WORK_CITY,240.88744068145752
BUREAU_CNT_CREDIT_PROLONG_MAX,227.69693183898926
BUREAU_CREDIT_TYPE_MORTGAGE_COUNT,198.67904634475707
REG_CITY_NOT_WORK_CITY,195.25395164489746
FONDKAPREMONT_MODE,187.16866178512572
AMT_REQ_CREDIT_BUREAU_WEEK,181.24666748046874
ELEVATORS_MEDI,181.1798274040222
BUREAU_CREDIT_TYPE_CAR_LOAN_COUNT,173.47579822540283
BUREAU_CREDIT_TYPE_ANOTHER_TYPE_OF_LOAN_FRAC,167.92029395103455
AMT_REQ_CREDIT_BUREAU_DAY,161.66335225105286
FLAG_DOCUMENT_8,142.51301584243774
HOUSETYPE_MODE,135.37518482208253
REG_REGION_NOT_WORK_REGION,129.92581572532654
FLAG_EMAIL,98.816565990448
FLAG_DOCUMENT_5,71.5755362033844
BUREAU_CREDIT_ACTIVE_SOLD_COUNT,69.94218034744263
LIVE_REGION_NOT_WORK_REGION,67.87003946304321
EMERGENCYSTATE_MODE,61.60736637115478
FLAG_DOCUMENT_13,47.1637921333313
FLAG_DOCUMENT_6,45.5102240562439
REG_REGION_NOT_LIVE_REGION,45.130528354644774
BUREAU_CREDIT_TYPE_LOAN_FOR_WORKING_CAPITAL_REPLENISHMENT_FRAC,42.003128147125246
FLAG_DOCUMENT_18,39.98376379013062
BUREAU_CNT_CREDIT_PROLONG_SUM,26.841934156417846
AMT_REQ_CREDIT_BUREAU_HOUR,18.75559034347534
BUREAU_CREDIT_TYPE_LOAN_FOR_WORKING_CAPITAL_REPLENISHMENT_COUNT,13.968483924865723
FLAG_DOCUMENT_11,13.16109790802002
FLAG_DOCUMENT_16,11.341082191467285
BUREAU_CREDIT_TYPE_UNKNOWN_TYPE_OF_LOAN_FRAC,6.955145835876465
FLAG_CONT_MOBILE,6.873945999145508
BUREAU_CREDIT_TYPE_LOAN_FOR_BUSINESS_DEVELOPMENT_FRAC,6.202842140197754
FLAG_DOCUMENT_9,6.156207942962647
FLAG_DOCUMENT_14,6.137566089630127
FLAG_EMP_PHONE,5.5103401184082035
FLAG_DOCUMENT_21,3.5146240234375
BUREAU_CREDIT_TYPE_LOAN_FOR_BUSINESS_DEVELOPMENT_COUNT,3.196608066558838
FLAG_DOCUMENT_15,1.5047420024871827
FLAG_DOCUMENT_19,1.3131139755249024
BUREAU_CREDIT_TYPE_LOAN_FOR_PURCHASE_OF_SHARES_(MARGIN_LENDING)_COUNT,0.0
BUREAU_CREDIT_TYPE_LOAN_FOR_THE_PURCHASE_OF_EQUIPMENT_COUNT,0.0
FLAG_MOBIL,0.0
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_4,0.0
BUREAU_CREDIT_TYPE_REAL_ESTATE_LOAN_FRAC,0.0
FLAG_DOCUMENT_7,0.0
BUREAU_CREDIT_TYPE_MOBILE_OPERATOR_LOAN_FRAC,0.0
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_12,0.0
BUREAU_CREDIT_TYPE_LOAN_FOR_THE_PURCHASE_OF_EQUIPMENT_FRAC,0.0
BUREAU_CREDIT_TYPE_LOAN_FOR_PURCHASE_OF_SHARES_(MARGIN_LENDING)_FRAC,0.0
FLAG_DOCUMENT_17,0.0
BUREAU_CREDIT_TYPE_INTERBANK_CREDIT_FRAC,0.0
FLAG_DOCUMENT_20,0.0
DAYS_EMPLOYED_IS_SENTINEL,0.0
BUREAU_CREDIT_TYPE_CASH_LOAN_(NON-EARMARKED)_FRAC,0.0
BUREAU_CREDIT_ACTIVE_BAD_DEBT_COUNT,0.0
BUREAU_CREDIT_ACTIVE_BAD_DEBT_FRAC,0.0
BUREAU_CREDIT_TYPE_UNKNOWN_TYPE_OF_LOAN_COUNT,0.0
BUREAU_CREDIT_TYPE_REAL_ESTATE_LOAN_COUNT,0.0
BUREAU_CREDIT_TYPE_ANOTHER_TYPE_OF_LOAN_COUNT,0.0
BUREAU_CREDIT_TYPE_MOBILE_OPERATOR_LOAN_COUNT,0.0
BUREAU_CREDIT_TYPE_CASH_LOAN_(NON-EARMARKED)_COUNT,0.0
BUREAU_CREDIT_TYPE_INTERBANK_CREDIT_COUNT,0.0
HAS_BUREAU_HISTORY,0.0
